N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
94,CJ,"82,300","1,100",-1.32%,"5,000","24,013","29,177",19.00,"75,051",15.99,6.24,
95,키움증권,"108,500","3,000",-2.69%,"5,000","23,999","22,119",24.37,"73,398",12.85,16.97,
96,동서,"23,950",100,-0.42%,500,"23,878","99,700",6.03,"153,947",17.36,10.53,
97,KODEX 200선물인버스2X,"4,240",75,+1.80%,0,"23,693","558,800",1.31,"208,062,502",N/A,N/A,
98,일진머티리얼즈,"50,700",900,-1.74%,500,"23,378","46,111",9.22,"511,809",45.88,8.52,
99,한샘,"98,500","1,500",-1.50%,"1,000","23,181","23,534",25.03,"97,563",44.33,7.32,
100,농심,"375,000","16,000",+4.46%,"5,000","22,810","6,083",19.66,"51,579",18.66,3.72,
101,두산퓨얼셀,"40,950","1,700",-3.99%,100,"22,725","55,494",4.79,"938,031",62.42,N/A,
102,삼성엔지니어링,"11,450",350,-2.97%,"5,000","22,442","196,000",31.15,"1,229,526",8.68,24.62,
103,메리츠증권,"3,250",70,-2.11%,"1,000","21,969","675,962",12.40,"2,866,790",4.48,15.06,
104,한국가스공사,"23,700",700,-2.87%,"5,000","21,878","92,313",9.31,"224,339",-4.90,0.48,
105,한국항공우주,"22,300",450,-1.98%,"5,000","21,737","97,475",14.57,"437,388",13.91,15.84,
106,휠라홀딩스,"35,750",550,-1.52%,"1,000","21,719","60,752",44.43,"387,255",10.82,23.81,
107,KODEX 레버리지,"14,800",265,-1.76%,0,"21,667","146,400",1.58,"50,757,798",N/A,N/A,
108,롯데쇼핑,"75,900","1,300",-1.68%,"5,000","21,471","28,289",11.73,"101,376",-1.58,-8.14,
109,BGF리테일,"123,000","1,500",-1.20%,"1,000","21,259","17,284",32.34,"41,798",16.41,26.46,
110,오뚜기,"580,000","11,000",-1.86%,"5,000","20,910","3,605",17.77,"6,149",16.57,7.79,
111,대웅,"35,350","1,900",-5.10%,500,"20,553","58,142",6.92,"779,090",44.19,10.43,
112,현대차우,"84,200",700,-0.82%,"5,000","20,508","24,357",56.03,"106,490",12.13,N/A,
113,제일기획,"17,800",400,+2.30%,200,"20,477","115,041",29.32,"709,998",15.92,15.09,
114,현대해상,"22,500",0,0.00%,500,"20,115","89,400",40.31,"204,729",7.16,6.23,
115,종근당,"182,500","3,500",-1.88%,"2,500","19,866","10,886",12.62,"189,334",26.18,11.94,
116,신세계,"200,500","4,000",-1.96%,"5,000","19,740","9,845",28.59,"113,692",-7.39,14.24,
117,GS건설,"24,500",650,-2.58%,"5,000","19,624","80,098",29.21,"543,699",5.14,11.79,
118,한화,"26,000",500,-1.89%,"5,000","19,489","74,959",19.13,"463,265",13.62,2.09,
119,한올바이오파마,"36,400","2,450",+7.22%,500,"19,016","52,241",6.23,"3,558,359",88.56,14.90,
120,한솔케미칼,"164,500","9,500",+6.13%,"5,000","18,581","11,295",31.03,"287,162",17.88,20.88,
121,KODEX 단기채권,"102,465",0,0.00%,0,"18,544","18,098",3.32,"34,989",N/A,N/A,
122,팬오션,"3,405",120,-3.40%,"1,000","18,202","534,569",11.25,"2,081,848",12.34,5.49,
123,HMM,"5,340",240,-4.30%,"5,000","17,447","326,726",7.80,"4,574,443",-6.85,-55.46,
124,포스코인터내셔널,"13,850",150,-1.07%,"5,000","17,087","123,375",16.57,"234,559",9.53,7.06,
125,BNK금융지주,"5,200",100,-1.89%,"5,000","16,949","325,935",47.61,"787,883",3.24,7.07,
126,태영건설,"21,600",950,+4.60%,500,"16,502","76,400",7.67,"3,886,303",25.00,8.38,
127,LS ELECTRIC,"53,500","1,000",-1.83%,"5,000","16,050","30,000",16.34,"83,622",16.51,7.82,
128,두산인프라코어,"7,610",160,-2.06%,"5,000","15,932","209,353",4.52,"4,017,654",11.55,11.59,
129,현대엘리베이,"40,600","1,300",-3.10%,"5,000","15,570","38,351",25.67,"327,895",28.06,5.22,
130,DB하이텍,"35,050",500,-1.41%,"5,000","15,562","44,399",31.19,"944,784",9.60,17.40,
131,현대로템,"14,850",400,-2.62%,"5,000","15,450","104,044",3.79,"1,426,465",-4.45,-37.93,
132,일양약품,"80,700","1,600",+2.02%,"2,500","15,402","19,086",8.86,"1,520,471",166.05,5.20,
133,OCI,"63,900","4,800",-6.99%,"5,000","15,240","23,849",17.06,"827,455",-1.88,-26.20,
134,LG생활건강우,"723,000","10,000",-1.36%,"5,000","15,181","2,100",87.96,"1,824",16.49,N/A,
135,씨에스윈드,"87,200","2,500",+2.95%,500,"15,073","17,286",9.01,"393,072",35.69,9.92,
136,한국테크놀로지그룹,"15,750",600,-3.67%,500,"14,651","93,020",7.05,"2,763,534",11.66,4.71,
137,F&F,"95,000","2,800",-2.86%,500,"14,630","15,400",10.00,"66,600",14.23,25.13,
138,메리츠화재,"12,650",50,-0.39%,500,"14,381","113,680",11.87,"96,437",4.36,12.80,
139,NHN,"73,100",800,-1.08%,500,"14,302","19,565",11.64,"191,289",55.67,0.78,
140,효성,"66,600",500,-0.75%,"5,000","14,033","21,071",6.13,"52,475",51.39,4.25,
141,HDC현대산업개발,"20,800","1,100",-5.02%,"5,000","13,709","65,907",9.48,"948,252",2.95,20.30,
142,파미셀,"22,650",50,-0.22%,500,"13,581","59,959",7.77,"9,534,563",222.06,8.78,
143,아이에스동서,"43,850",150,-0.34%,500,"13,546","30,893",5.29,"106,738",23.19,6.10,
144,만도,"28,750","1,100",-3.69%,"1,000","13,500","46,957",24.52,"813,838",-32.60,7.55,
145,한화생명,"1,515",55,-3.50%,"5,000","13,158","868,530",7.56,"4,488,242",8.23,0.51,
146,대웅제약,"113,500","3,000",-2.58%,"2,500","13,151","11,587",5.03,"128,053",-530.37,4.34,
147,SK디스커버리,"69,000","1,800",-2.54%,"5,000","13,136","19,038",9.88,"236,312",5.37,11.52,
148,롯데관광개발,"18,900",0,0.00%,500,"13,093","69,276",6.65,0,-28.68,-4.77,
149,더블유게임즈,"71,100",900,-1.25%,500,"13,064","18,375",15.37,"145,246",12.38,18.93,
150,LS,"40,550",750,-1.82%,"5,000","13,057","32,200",10.77,"119,819",-30.01,0.80,
151,한화에어로스페이스,"25,500",800,-3.04%,"5,000","12,911","50,630",16.33,"352,418",12.06,5.45,
152,영원무역,"29,000",350,+1.22%,500,"12,850","44,311",23.80,"333,470",9.13,9.82,
153,현대백화점,"54,600","2,000",-3.53%,"5,000","12,778","23,402",20.99,"318,600",10.10,4.64,
154,SK네트웍스,"5,080",60,-1.17%,"2,500","12,608","248,188",12.26,"567,187",-43.05,-5.85,
155,한전KPS,"28,000",600,-2.10%,200,"12,600","45,000",14.77,"230,198",7.93,14.98,
156,대우건설,"3,020",110,-3.51%,"5,000","12,552","415,623",12.84,"4,320,285",6.83,8.80,
157,KODEX 종합채권(AA-이상)액티브,"110,805",55,-0.05%,0,"12,536","11,314",0.00,"26,590",N/A,N/A,
158,KODEX 삼성그룹,"7,630",50,-0.65%,0,"12,528","164,200",0.03,"572,526",N/A,N/A,
159,녹십자홀딩스,"26,600",550,-2.03%,500,"12,510","47,028",7.25,"222,523",37.78,0.37,
160,TIGER 단기통안채,"100,645",0,0.00%,0,"12,509","12,429",5.86,"2,994",N/A,N/A,
161,KCC,"140,000","2,000",-1.41%,"5,000","12,441","8,886",13.39,"56,988",-590.72,-4.37,
162,메리츠금융지주,"9,190",10,-0.11%,500,"12,316","134,011",7.90,"34,789",3.34,15.26,
163,현대미포조선,"30,750",700,-2.23%,"5,000","12,282","39,942",13.20,"158,986",20.55,2.31,
164,지누스,"84,000","1,800",-2.10%,500,"12,102","14,407",18.56,"50,284",15.29,26.32,
165,롯데정밀화학,"46,250",700,-1.49%,"5,000","11,932","25,800",23.95,"133,970",6.10,11.73,
166,두산솔루스,"39,000",150,+0.39%,100,"11,930","30,590",7.90,"579,222",86.47,N/A,
167,KODEX 인버스,"5,505",50,+0.92%,0,"11,918","216,500",1.01,"40,780,207",N/A,N/A,
168,KG동부제철,"11,700",400,-3.31%,"5,000","11,701","100,009",0.15,"71,042",12.20,-7.44,
169,영진약품,"6,330",300,-4.52%,500,"11,577","182,893",4.65,"2,038,634",486.92,4.43,
170,KODEX 200TR,"9,965",95,-0.94%,0,"11,420","114,600",20.20,"130,601",N/A,N/A,
171,현대위아,"40,800","1,300",-3.09%,"5,000","11,096","27,195",11.01,"229,811",17.60,1.80,
172,한화시스템,"9,970",80,-0.80%,"5,000","10,990","110,230",1.89,"500,125",14.12,8.15,
